telemetry_step,train_epoch,update_epoch,minibatch_id,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_p50,backbone_soft_geometry_scale_factor_p95,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean,backbone_soft_geometry_overflow_stat_p95
10,0,1,10,0.05040845962618566,76800,0,0.0,273718.9375,558448.9375,8083865.0,52357900.0,273718.9375,558448.9375,8083865.0,52357900.0,0.6567620287800069,0.6567620187997818,0.8175285175442696,0.47813258152030624,0.5992997288703918,4.29504560065795,6.978325152397155
11,0,1,11,0.05056265622281254,76800,0,0.0,268786.9375,532617.3125,7864215.0,52499168.0,268786.9375,532617.3125,7864215.0,52499168.0,0.6580028650068553,0.6580028533935547,0.8197446703910828,0.47828972272352865,0.5953297317028046,4.281683074534572,6.972866010665893
12,0,1,12,0.049877559685846,76800,0,0.0,261943.46875,514300.875,7625070.0,49650024.0,261943.46875,514300.875,7625070.0,49650024.0,0.6602063842821885,0.6602063924074173,0.8225803926587104,0.4797908300005845,0.5912973880767822,4.2461233180889755,6.9300618171691895
13,0,1,13,0.04912905746922847,76800,0,0.0,257285.734375,517448.59375,7597779.0,47708936.0,257285.734375,517448.59375,7597779.0,47708936.0,0.6642279418081312,0.6642279326915741,0.8294645875692367,0.48063165581696216,0.5538755655288696,4.200283801924202,6.903600478172302
14,0,2,14,0.04927263334450462,76800,0,0.0,256151.734375,506230.84375,7727607.314999851,46673552.0,256151.734375,506230.84375,7727607.314999851,46673552.0,0.6645249619482683,0.6645249724388123,0.8298799932003021,0.4807971736891634,0.5578297972679138,4.1959100772454905,6.898865556716919
15,0,2,15,0.04973046690813989,76800,0,0.0,253904.375,510905.65625,7753511.844999633,47403788.0,253904.375,510905.65625,7753511.844999633,47403788.0,0.6655188851856839,0.6655188798904419,0.8314979434013366,0.4810976861682701,0.5581388175487518,4.183778210826131,6.889857673645019
16,0,2,16,0.05010312728584867,76800,0,0.0,252133.59375,504712.3125,7604968.0,48155692.0,252133.59375,504712.3125,7604968.0,48155692.0,0.6655264960435232,0.6655264794826508,0.8313816517591476,0.481242960919453,0.5581351816654205,4.1822868369339075,6.885943555831909
17,0,2,17,0.05036900905442997,76800,0,0.0,248695.4375,497810.25,7488082.5,47968964.0,248695.4375,497810.25,7488082.5,47968964.0,0.6663105973331495,0.6663106083869934,0.8324859023094177,0.48167138364751483,0.558283120393753,4.170872247857016,6.873712778091431
18,0,2,18,0.05055122947403535,76800,0,0.0,246192.671875,486439.5625,7260513.709999895,48114176.0,246192.671875,486439.5625,7260513.709999895,48114176.0,0.6672377697357432,0.6672377586364746,0.8334125161170959,0.4825991494871543,0.5511250495910645,4.153307627733294,6.848009133338928
19,0,2,19,0.05073713817949193,76800,0,0.0,244329.09375,482786.25,7393493.0,48183212.0,244329.09375,482786.25,7393493.0,48183212.0,0.6679679717944129,0.6679679751396179,0.835141909122467,0.48221916055712466,0.5512223541736603,4.150315112517919,6.857507038116455
20,0,2,20,0.05055120570719929,76800,0,0.0,240214.984375,474359.21875,7160570.5,48466328.0,240214.984375,474359.21875,7160570.5,48466328.0,0.671031466767983,0.6710314750671387,0.8403907656669617,0.48285449608159897,0.5171931385993958,4.116264035730672,6.837730145454406
