sample_id,block_id,sensor_id,task_id,A_theta,A_route,local_score,bs1_score,bs2_score,best_offload_score,theta_true_gap,route_true_gap,offload_active_mask,theta_sign_match,route_sign_match,actual_theta_decision,actual_route_decision,theta_decision_match,route_decision_match,route_true_gap_bucket,A_route_bucket
57,0,0,0,-0.18033942580223083,-0.08676812052726746,-0.3138236403465271,-0.5882766246795654,-0.4892234206199646,-0.4892234206199646,-0.1753997802734375,-0.09905320405960083,1,1,True,1,0,0,False,"(-0.236, -0.0433]","(-0.294, -0.0671]"
57,1,0,1,0.13500317931175232,0.3574709892272949,-0.32192230224609375,-0.5354415774345398,-0.5037175416946411,-0.5037175416946411,-0.18179523944854736,-0.03172403573989868,1,0,False,1,0,0,False,"(-0.0433, -0.0136]","(0.333, 2.732]"
57,2,0,2,0.053740039467811584,0.2029811143875122,-0.21645806729793549,-0.36453375220298767,-0.36648523807525635,-0.36453375220298767,-0.14807568490505219,0.0019514858722686768,1,0,True,1,1,0,False,"(-0.0136, 0.00342]","(0.0733, 0.333]"
57,3,1,0,0.1296781748533249,0.2112307846546173,-0.37297648191452026,-0.7036384344100952,-0.6045852303504944,-0.6045852303504944,-0.23160874843597412,-0.09905320405960083,1,0,False,1,0,0,False,"(-0.236, -0.0433]","(0.0733, 0.333]"
57,5,1,2,0.15154337882995605,-0.06825882196426392,-0.17584997415542603,-0.3382125496864319,-0.34016403555870056,-0.3382125496864319,-0.16236257553100586,0.0019514858722686768,1,0,False,1,0,0,True,"(-0.0136, 0.00342]","(-0.294, -0.0671]"
57,7,2,1,0.09919008612632751,0.8888258934020996,-0.5414069294929504,-0.827173113822937,-0.7954490780830383,-0.7954490780830383,-0.2540421485900879,-0.03172403573989868,1,0,False,1,0,0,False,"(-0.0433, -0.0136]","(0.333, 2.732]"
57,8,2,2,-0.6954562664031982,-0.03579026460647583,-0.3853004276752472,-0.5167730450630188,-0.5187245607376099,-0.5167730450630188,-0.1314726173877716,0.0019515156745910645,1,1,False,1,1,0,False,"(-0.0136, 0.00342]","(-0.0671, 0.0733]"
57,9,3,0,0.2760308086872101,0.5343018770217896,-0.14676809310913086,-0.4486129879951477,-0.3495597839355469,-0.3495597839355469,-0.20279169082641602,-0.09905320405960083,1,0,False,1,1,0,True,"(-0.236, -0.0433]","(0.333, 2.732]"
57,10,3,1,-0.3373201787471771,-0.20205646753311157,-0.1619587242603302,-0.4406343102455139,-0.40891027450561523,-0.40891027450561523,-0.24695155024528503,-0.03172403573989868,1,1,True,1,0,0,False,"(-0.0433, -0.0136]","(-0.294, -0.0671]"
57,12,4,0,-0.16636645793914795,0.23198506236076355,-1.1979594230651855,-1.384034514427185,-1.2849812507629395,-1.2849812507629395,-0.0870218276977539,-0.0990532636642456,1,1,False,1,1,0,True,"(-0.236, -0.0433]","(0.0733, 0.333]"
57,14,4,2,0.09056264907121658,-0.17229267954826355,-0.5863524079322815,-0.7391565442085266,-0.7411080598831177,-0.7391565442085266,-0.15280413627624512,0.0019515156745910645,1,0,False,1,0,0,True,"(-0.0136, 0.00342]","(-0.294, -0.0671]"
57,15,5,0,0.028964318335056305,-0.2663802206516266,-1.0577552318572998,-1.2144038677215576,-1.115350604057312,-1.115350604057312,-0.05759537220001221,-0.0990532636642456,1,0,True,1,0,0,False,"(-0.236, -0.0433]","(-0.294, -0.0671]"
57,20,6,2,0.43597376346588135,0.17027685046195984,-0.2898103594779968,-0.49726173281669617,-0.49921321868896484,-0.49726173281669617,-0.20745137333869934,0.0019514858722686768,1,0,True,1,0,0,True,"(-0.0136, 0.00342]","(0.0733, 0.333]"
57,22,7,1,-0.028499364852905273,0.1139441430568695,-0.008653146214783192,-0.33582523465156555,-0.30410119891166687,-0.30410119891166687,-0.29544806480407715,-0.03172403573989868,1,1,False,1,1,0,True,"(-0.0433, -0.0136]","(0.0733, 0.333]"
57,23,7,2,-0.3020312190055847,0.38016024231910706,-0.5877859592437744,-0.7127702832221985,-0.7147217988967896,-0.7127702832221985,-0.12498432397842407,0.0019515156745910645,1,1,True,1,1,0,False,"(-0.0136, 0.00342]","(0.333, 2.732]"
58,0,0,0,0.2655295133590698,0.3539559543132782,-0.5985568165779114,-0.8446284532546997,-0.8373503684997559,-0.8373503684997559,-0.23879355192184448,-0.007278084754943848,1,0,False,1,0,0,False,"(-0.0136, 0.00342]","(0.333, 2.732]"
58,10,3,1,0.26327985525131226,-0.0007236450910568237,-0.016767142340540886,-0.27127185463905334,-0.2811220586299896,-0.27127185463905334,-0.2545047104358673,0.00985020399093628,1,0,False,1,1,0,False,"(0.00342, 0.0337]","(-0.0671, 0.0733]"
58,11,3,2,-0.18706370890140533,-0.2410118281841278,-0.44745177030563354,-0.5906636118888855,-0.5855283737182617,-0.5855283737182617,-0.13807660341262817,-0.005135238170623779,1,1,True,1,0,0,False,"(-0.0136, 0.00342]","(-0.294, -0.0671]"
58,13,4,1,-0.20324459671974182,0.05719462037086487,-0.6207877397537231,-0.8358981609344482,-0.8457483649253845,-0.8358981609344482,-0.2151104211807251,0.00985020399093628,1,1,True,1,0,0,True,"(0.00342, 0.0337]","(-0.0671, 0.0733]"
58,14,4,2,0.10369285941123962,-0.08123230934143066,-0.6924591660499573,-0.7962766885757446,-0.7911414504051208,-0.7911414504051208,-0.09868228435516357,-0.005135238170623779,1,0,True,1,0,0,False,"(-0.0136, 0.00342]","(-0.294, -0.0671]"
58,15,5,0,0.013890929520130157,-0.09759223461151123,-0.9570558071136475,-1.101080060005188,-1.0938019752502441,-1.0938019752502441,-0.13674616813659668,-0.007278084754943848,1,0,True,1,1,0,True,"(-0.0136, 0.00342]","(-0.294, -0.0671]"
58,16,5,1,-0.2128131091594696,0.4664762020111084,-0.30366745591163635,-0.5469508171081543,-0.5568009614944458,-0.5469508171081543,-0.24328336119651794,0.009850144386291504,1,1,True,1,1,0,False,"(0.00342, 0.0337]","(0.333, 2.732]"
58,18,6,0,0.4248678684234619,-0.06136408448219299,-0.5434674620628357,-0.8278307318687439,-0.8205526471138,-0.8205526471138,-0.27708518505096436,-0.007278084754943848,1,0,True,1,0,0,False,"(-0.0136, 0.00342]","(-0.0671, 0.0733]"
58,20,6,2,-0.14666563272476196,-0.09500417113304138,-0.4422711133956909,-0.7181435227394104,-0.7130082845687866,-0.7130082845687866,-0.2707371711730957,-0.005135238170623779,1,1,True,1,1,0,True,"(-0.0136, 0.00342]","(-0.294, -0.0671]"
58,21,7,0,0.37779974937438965,0.3230721950531006,-0.021709773689508438,-0.2517130970954895,-0.24443505704402924,-0.24443505704402924,-0.2227252870798111,-0.007278040051460266,1,0,False,1,1,0,True,"(-0.0136, 0.00342]","(0.0733, 0.333]"
58,22,7,1,0.1432805061340332,0.3432542383670807,-0.11544157564640045,-0.3309271037578583,-0.34077730774879456,-0.3309271037578583,-0.21548552811145782,0.00985020399093628,1,0,True,1,0,0,True,"(0.00342, 0.0337]","(0.333, 2.732]"
58,23,7,2,0.03614094853401184,-0.3624474108219147,-0.5596545934677124,-0.7122132182121277,-0.7070779800415039,-0.7070779800415039,-0.1474233865737915,-0.005135238170623779,1,0,True,1,0,0,False,"(-0.0136, 0.00342]","(-2.8369999999999997, -0.294]"
59,3,1,0,0.007679149508476257,0.2483554184436798,-0.4624611437320709,-0.6521356105804443,-0.6403230428695679,-0.6403230428695679,-0.17786189913749695,-0.011812567710876465,1,0,False,1,1,0,True,"(-0.0136, 0.00342]","(0.0733, 0.333]"
59,6,2,0,0.19216009974479675,0.12920409440994263,-0.000988131738267839,-0.18606656789779663,-0.17425402998924255,-0.17425402998924255,-0.17326590418815613,-0.011812537908554077,1,0,False,1,1,0,True,"(-0.0136, 0.00342]","(0.0733, 0.333]"
59,7,2,1,-0.019870758056640625,0.22544479370117188,-0.7455564737319946,-0.9374848008155823,-0.9817270040512085,-0.9374848008155823,-0.19192832708358765,0.04424220323562622,1,1,True,1,0,0,True,"(0.0337, 0.198]","(0.0733, 0.333]"
59,8,2,2,0.058616310358047485,0.5674430727958679,-0.3226669430732727,-0.39357703924179077,-0.3746876120567322,-0.3746876120567322,-0.05202066898345947,-0.018889427185058594,1,0,False,1,1,0,True,"(-0.0433, -0.0136]","(0.333, 2.732]"
59,9,3,0,-0.11956523358821869,0.035328060388565063,-0.19718267023563385,-0.48703375458717346,-0.4752212166786194,-0.4752212166786194,-0.27803856134414673,-0.011812537908554077,1,1,False,1,0,0,False,"(-0.0136, 0.00342]","(-0.0671, 0.0733]"
59,10,3,1,0.13099028170108795,0.17895789444446564,-0.18594232201576233,-0.5257337093353271,-0.5699758529663086,-0.5257337093353271,-0.3397913873195648,0.044242143630981445,1,0,True,1,1,0,False,"(0.0337, 0.198]","(0.0733, 0.333]"
59,11,3,2,0.08715631067752838,0.36800408363342285,-0.5061085224151611,-0.7399996519088745,-0.7211102247238159,-0.7211102247238159,-0.21500170230865479,-0.018889427185058594,1,0,False,1,1,0,True,"(-0.0433, -0.0136]","(0.333, 2.732]"
59,12,4,0,-0.04883617162704468,0.7595527172088623,-0.5510808229446411,-0.769959568977356,-0.7581470012664795,-0.7581470012664795,-0.20706617832183838,-0.011812567710876465,1,1,False,1,1,0,True,"(-0.0136, 0.00342]","(0.333, 2.732]"
59,13,4,1,0.5002641081809998,-0.046762943267822266,-0.3625289797782898,-0.5436038374900818,-0.587846040725708,-0.5436038374900818,-0.181074857711792,0.04424220323562622,1,0,False,1,0,0,True,"(0.0337, 0.198]","(-0.0671, 0.0733]"
59,15,5,0,-0.259904682636261,0.042455196380615234,-0.8473706245422363,-1.045042872428894,-1.0332303047180176,-1.0332303047180176,-0.18585968017578125,-0.011812567710876465,1,1,False,1,0,0,False,"(-0.0136, 0.00342]","(-0.0671, 0.0733]"
59,16,5,1,0.4875975549221039,-0.40396976470947266,-0.3544504940509796,-0.6512453556060791,-0.6954874992370605,-0.6512453556060791,-0.2967948615550995,0.044242143630981445,1,0,False,1,1,0,False,"(0.0337, 0.198]","(-2.8369999999999997, -0.294]"
59,18,6,0,-0.021544933319091797,0.4054473042488098,-0.4222020208835602,-0.6205592155456543,-0.6087466478347778,-0.6087466478347778,-0.18654462695121765,-0.011812567710876465,1,1,False,1,1,0,True,"(-0.0136, 0.00342]","(0.333, 2.732]"
59,20,6,2,-0.16922783851623535,-0.05837094783782959,-0.30795782804489136,-0.41644322872161865,-0.39755380153656006,-0.39755380153656006,-0.0895959734916687,-0.018889427185058594,1,1,True,1,1,0,True,"(-0.0433, -0.0136]","(-0.0671, 0.0733]"
59,22,7,1,0.030258774757385254,-0.37391233444213867,-0.057387009263038635,-0.3557402789592743,-0.3999824523925781,-0.3557402789592743,-0.29835325479507446,0.04424217343330383,1,0,False,1,1,0,False,"(0.0337, 0.198]","(-2.8369999999999997, -0.294]"
60,3,1,0,-0.014358118176460266,-0.09013721346855164,-0.3901386559009552,-0.5167521834373474,-0.5753377676010132,-0.5167521834373474,-0.1266135275363922,0.05858558416366577,1,1,False,1,0,0,True,"(0.0337, 0.198]","(-0.294, -0.0671]"
60,4,1,1,0.12718357145786285,-0.508705735206604,-0.28941237926483154,-0.40679630637168884,-0.4478819966316223,-0.40679630637168884,-0.1173839271068573,0.04108569025993347,1,0,False,1,1,0,False,"(0.0337, 0.198]","(-2.8369999999999997, -0.294]"
60,7,2,1,-0.2635577321052551,0.08693239092826843,-0.601620614528656,-0.7056581377983093,-0.7467438578605652,-0.7056581377983093,-0.10403752326965332,0.04108572006225586,1,1,True,1,0,0,True,"(0.0337, 0.198]","(0.0733, 0.333]"
60,8,2,2,-0.040828824043273926,-0.3036435842514038,-0.31375622749328613,-0.3610783815383911,-0.36868762969970703,-0.3610783815383911,-0.04732215404510498,0.007609248161315918,1,1,False,1,1,0,False,"(0.00342, 0.0337]","(-2.8369999999999997, -0.294]"
60,10,3,1,-0.16502448916435242,0.051727741956710815,-0.2807422876358032,-0.3636583387851715,-0.404744029045105,-0.3636583387851715,-0.08291605114936829,0.04108569025993347,1,1,True,1,1,0,False,"(0.0337, 0.198]","(-0.0671, 0.0733]"
60,11,3,2,3.737211227416992e-05,-0.2839248776435852,-0.3911494016647339,-0.4453584551811218,-0.45296770334243774,-0.4453584551811218,-0.05420905351638794,0.007609248161315918,1,0,False,1,0,0,True,"(0.00342, 0.0337]","(-0.294, -0.0671]"
