sample_id,block_id,sensor_id,task_id,A_theta,A_route,local_score,bs1_score,bs2_score,best_offload_score,theta_true_gap,route_true_gap,offload_active_mask,theta_sign_match,route_sign_match,actual_theta_decision,actual_route_decision,theta_decision_match,route_decision_match,theta_true_gap_bucket,A_theta_bucket
25,23,7,2,0.12414650619029999,0.13436591625213623,-0.7744895219802856,-0.9775640368461609,-0.9507662057876587,-0.9507662057876587,-0.17627668380737305,-0.026797831058502197,1,0,False,1,1,0,True,"(-0.211, -0.171]","(0.0677, 0.275]"
26,0,0,0,-0.2870623767375946,0.2550865411758423,-1.131897211074829,-1.3404788970947266,-1.3033976554870605,-1.3033976554870605,-0.17150044441223145,-0.037081241607666016,0,1,,0,0,1,,"(-0.211, -0.171]","(-0.291, -0.0766]"
26,1,0,1,-0.37240344285964966,-1.3260715007781982,-0.997502326965332,-1.2849828004837036,-1.3232802152633667,-1.2849828004837036,-0.2874804735183716,0.038297414779663086,0,1,,0,1,1,,"(-0.6, -0.268]","(-2.7889999999999997, -0.291]"
26,2,0,2,0.2655385136604309,-0.3700296878814697,-0.9927804470062256,-1.1914044618606567,-1.1915171146392822,-1.1914044618606567,-0.19862401485443115,0.00011265277862548828,0,0,,0,0,1,,"(-0.211, -0.171]","(0.0677, 0.275]"
26,3,1,0,-1.5354888439178467,0.7550873756408691,-0.7679318785667419,-0.9340932369232178,-0.8970120549201965,-0.8970120549201965,-0.1290801763534546,-0.03708118200302124,1,1,False,1,1,0,True,"(-0.171, -0.128]","(-2.7889999999999997, -0.291]"
26,4,1,1,0.3094751238822937,-0.8626145124435425,-0.37293821573257446,-0.6209981441497803,-0.6592955589294434,-0.6209981441497803,-0.2480599284172058,0.038297414779663086,0,0,,0,1,1,,"(-0.268, -0.211]","(0.275, 2.946]"
26,5,1,2,0.3188856244087219,-0.46500247716903687,-0.0410461388528347,-0.18372979760169983,-0.1838425099849701,-0.18372979760169983,-0.14268365502357483,0.00011271238327026367,1,0,False,1,0,0,True,"(-0.171, -0.128]","(0.275, 2.946]"
26,6,2,0,-0.49655213952064514,1.2583606243133545,-0.0037365411408245564,-0.16895930469036102,-0.1318780928850174,-0.1318780928850174,-0.12814155220985413,-0.03708121180534363,1,1,False,1,1,0,True,"(-0.171, -0.128]","(-2.7889999999999997, -0.291]"
26,7,2,1,-1.1680008172988892,-0.2583579421043396,-0.566403329372406,-0.7779816389083862,-0.8162790536880493,-0.7779816389083862,-0.21157830953598022,0.038297414779663086,1,1,False,1,0,0,True,"(-0.268, -0.211]","(-2.7889999999999997, -0.291]"
26,8,2,2,2.8266706466674805,-0.8044416904449463,-0.5044056177139282,-0.5999032258987427,-0.6000159382820129,-0.5999032258987427,-0.09549760818481445,0.00011271238327026367,1,0,False,1,1,0,False,"(-0.128, 0.0263]","(0.275, 2.946]"
26,9,3,0,0.2779026925563812,-0.20149526000022888,-0.0,-0.1741892695426941,-0.13710805773735046,-0.13710805773735046,-0.13710805773735046,-0.03708121180534363,1,0,True,1,0,0,False,"(-0.171, -0.128]","(0.275, 2.946]"
26,10,3,1,-0.43971848487854004,1.2566906213760376,-0.06026677042245865,-0.27831435203552246,-0.3166118264198303,-0.27831435203552246,-0.2180475890636444,0.03829747438430786,1,1,True,1,1,0,False,"(-0.268, -0.211]","(-2.7889999999999997, -0.291]"
26,11,3,2,-0.15316087007522583,0.39900171756744385,-0.5741713047027588,-0.6786354780197144,-0.6787481904029846,-0.6786354780197144,-0.10446417331695557,0.00011271238327026367,1,1,True,1,1,0,False,"(-0.128, 0.0263]","(-0.291, -0.0766]"
26,12,4,0,-0.16560104489326477,-0.11167921125888824,-0.6695606708526611,-0.893936276435852,-0.856855034828186,-0.856855034828186,-0.1872943639755249,-0.037081241607666016,0,1,,0,1,1,,"(-0.211, -0.171]","(-0.291, -0.0766]"
26,13,4,1,0.7809028625488281,2.190525531768799,-0.3639487028121948,-0.6258530020713806,-0.6641504764556885,-0.6258530020713806,-0.2619042992591858,0.03829747438430786,1,0,True,1,0,0,True,"(-0.268, -0.211]","(0.275, 2.946]"
26,14,4,2,-0.005764186382293701,1.93215012550354,-0.3170156478881836,-0.5037655830383301,-0.5038782954216003,-0.5037655830383301,-0.18674993515014648,0.00011271238327026367,1,1,True,1,0,0,True,"(-0.211, -0.171]","(-0.0766, 0.0677]"
26,15,5,0,0.5730669498443604,1.5789330005645752,-0.5350732207298279,-0.7979142665863037,-0.7608330249786377,-0.7608330249786377,-0.22575980424880981,-0.037081241607666016,1,0,False,1,0,0,False,"(-0.268, -0.211]","(0.275, 2.946]"
26,16,5,1,-0.43242591619491577,-0.2457139492034912,-0.5902649760246277,-0.9004859924316406,-0.9387834072113037,-0.9004859924316406,-0.31022101640701294,0.038297414779663086,0,1,,0,1,1,,"(-0.6, -0.268]","(-2.7889999999999997, -0.291]"
26,17,5,2,-1.112248182296753,-1.3063244819641113,-0.824832022190094,-0.9648575782775879,-0.9649702906608582,-0.9648575782775879,-0.1400255560874939,0.00011271238327026367,0,1,,0,0,1,,"(-0.171, -0.128]","(-2.7889999999999997, -0.291]"
26,18,6,0,-0.8379924893379211,1.0648020505905151,-0.6563725471496582,-0.919416069984436,-0.88233482837677,-0.88233482837677,-0.22596228122711182,-0.037081241607666016,1,1,False,1,0,0,False,"(-0.268, -0.211]","(-2.7889999999999997, -0.291]"
26,19,6,1,0.5989184379577637,0.9262378215789795,-0.7388352751731873,-1.09872567653656,-1.1370232105255127,-1.09872567653656,-0.3598904013633728,0.03829753398895264,0,0,,0,1,1,,"(-0.6, -0.268]","(0.275, 2.946]"
26,20,6,2,-0.5693153142929077,0.7247014045715332,-0.7730676531791687,-0.8549646139144897,-0.85507732629776,-0.8549646139144897,-0.08189696073532104,0.00011271238327026367,0,1,,0,0,1,,"(-0.128, 0.0263]","(-2.7889999999999997, -0.291]"
26,21,7,0,1.262717604637146,-0.2456420660018921,-0.9085200428962708,-1.080054521560669,-1.042973279953003,-1.042973279953003,-0.13445323705673218,-0.037081241607666016,1,0,True,1,0,0,False,"(-0.171, -0.128]","(0.275, 2.946]"
26,22,7,1,0.13891011476516724,0.44878557324409485,-0.9393177032470703,-1.1637213230133057,-1.2020187377929688,-1.1637213230133057,-0.22440361976623535,0.038297414779663086,0,0,,0,0,1,,"(-0.268, -0.211]","(0.0677, 0.275]"
26,23,7,2,-0.15544377267360687,-0.8527229428291321,-0.6847424507141113,-0.8470836877822876,-0.8471964001655579,-0.8470836877822876,-0.16234123706817627,0.00011271238327026367,0,1,,0,1,1,,"(-0.171, -0.128]","(-0.291, -0.0766]"
27,0,0,0,0.16516216099262238,-0.023321732878684998,-0.631554365158081,-0.9837881326675415,-0.9311417937278748,-0.9311417937278748,-0.2995874285697937,-0.05264633893966675,1,0,True,1,1,0,True,"(-0.6, -0.268]","(0.0677, 0.275]"
27,1,0,1,-0.6707184314727783,1.1074107885360718,-0.3764057755470276,-0.5391923189163208,-0.5807055234909058,-0.5391923189163208,-0.1627865433692932,0.04151320457458496,0,1,,0,0,1,,"(-0.171, -0.128]","(-2.7889999999999997, -0.291]"
27,2,0,2,-0.8542817831039429,0.42335233092308044,-0.38552311062812805,-0.5678725838661194,-0.5433850288391113,-0.5433850288391113,-0.15786191821098328,-0.024487555027008057,1,1,False,1,0,0,False,"(-0.171, -0.128]","(-2.7889999999999997, -0.291]"
27,3,1,0,0.39509111642837524,0.4357263445854187,-0.7401636242866516,-1.117591142654419,-1.0649447441101074,-1.0649447441101074,-0.3247811198234558,-0.05264639854431152,1,0,False,1,1,0,True,"(-0.6, -0.268]","(0.275, 2.946]"
27,4,1,1,0.12117248773574829,0.055565908551216125,-0.306388258934021,-0.5843162536621094,-0.6258294582366943,-0.5843162536621094,-0.2779279947280884,0.04151320457458496,1,0,True,1,1,0,False,"(-0.6, -0.268]","(0.0677, 0.275]"
27,5,1,2,-0.9288442134857178,-0.11979061365127563,-0.17107315361499786,-0.3717961311340332,-0.34730857610702515,-0.34730857610702515,-0.17623542249202728,-0.024487555027008057,1,1,True,1,1,0,True,"(-0.211, -0.171]","(-2.7889999999999997, -0.291]"
27,6,2,0,-0.1022087037563324,0.9268026351928711,-0.10292002558708191,-0.373524010181427,-0.32087767124176025,-0.32087767124176025,-0.21795764565467834,-0.05264633893966675,0,1,,0,1,1,,"(-0.268, -0.211]","(-0.291, -0.0766]"
27,7,2,1,-0.2095467746257782,-0.36574089527130127,-0.5273021459579468,-0.7072078585624695,-0.7487210631370544,-0.7072078585624695,-0.1799057126045227,0.04151320457458496,1,1,False,1,0,0,True,"(-0.211, -0.171]","(-0.291, -0.0766]"
27,8,2,2,-0.8444547057151794,0.9423379898071289,-0.28325045108795166,-0.42649027705192566,-0.4020027220249176,-0.4020027220249176,-0.11875227093696594,-0.024487555027008057,1,1,False,1,0,0,False,"(-0.128, 0.0263]","(-2.7889999999999997, -0.291]"
27,9,3,0,0.06973738968372345,-0.2769874334335327,-0.3461056351661682,-0.6173973083496094,-0.5647509098052979,-0.5647509098052979,-0.21864527463912964,-0.05264639854431152,1,0,True,1,1,0,True,"(-0.268, -0.211]","(0.0677, 0.275]"
27,10,3,1,-0.30813315510749817,-0.15176403522491455,-0.33101558685302734,-0.4773275852203369,-0.5188407897949219,-0.4773275852203369,-0.14631199836730957,0.04151320457458496,0,1,,0,1,1,,"(-0.171, -0.128]","(-2.7889999999999997, -0.291]"
27,11,3,2,0.19494065642356873,0.35546422004699707,-0.5153956413269043,-0.6250417232513428,-0.6005541682243347,-0.6005541682243347,-0.08515852689743042,-0.024487555027008057,1,0,False,1,0,0,False,"(-0.128, 0.0263]","(0.0677, 0.275]"
27,12,4,0,-0.2503150701522827,0.3418408930301666,-0.7475449442863464,-0.9274874925613403,-0.8748411536216736,-0.8748411536216736,-0.12729620933532715,-0.05264633893966675,0,1,,0,1,1,,"(-0.128, 0.0263]","(-0.291, -0.0766]"
27,13,4,1,0.12657460570335388,-2.041592597961426,-0.3788670301437378,-0.5604875683784485,-0.6020008325576782,-0.5604875683784485,-0.1816205382347107,0.041513264179229736,1,0,False,1,1,0,False,"(-0.211, -0.171]","(0.0677, 0.275]"
27,14,4,2,0.7316067814826965,0.4644893407821655,-0.398709237575531,-0.5436638593673706,-0.5191763639450073,-0.5191763639450073,-0.12046712636947632,-0.02448749542236328,0,0,,0,1,1,,"(-0.128, 0.0263]","(0.275, 2.946]"
27,15,5,0,-1.03200364112854,-0.21244403719902039,-0.5378211736679077,-0.9489552974700928,-0.896308958530426,-0.896308958530426,-0.3584877848625183,-0.05264633893966675,1,1,True,1,0,0,False,"(-0.6, -0.268]","(-2.7889999999999997, -0.291]"
27,16,5,1,0.22520968317985535,0.9162529110908508,-0.6409612894058228,-0.8534625768661499,-0.8949757814407349,-0.8534625768661499,-0.21250128746032715,0.04151320457458496,0,0,,0,1,1,,"(-0.268, -0.211]","(0.0677, 0.275]"
27,17,5,2,0.22972846031188965,0.1293630301952362,-0.22365625202655792,-0.4258795380592346,-0.40139198303222656,-0.40139198303222656,-0.17773573100566864,-0.024487555027008057,0,0,,0,1,1,,"(-0.211, -0.171]","(0.0677, 0.275]"
27,18,6,0,0.11848777532577515,-1.008935809135437,-0.20350396633148193,-0.6163623929023743,-0.5637160539627075,-0.5637160539627075,-0.3602120876312256,-0.05264633893966675,0,0,,0,1,1,,"(-0.6, -0.268]","(0.0677, 0.275]"
27,19,6,1,-0.7714086771011353,0.11613661050796509,-0.9123197793960571,-1.0323487520217896,-1.073862075805664,-1.0323487520217896,-0.12002897262573242,0.04151332378387451,0,1,,0,0,1,,"(-0.128, 0.0263]","(-2.7889999999999997, -0.291]"
27,20,6,2,-0.028606772422790527,-0.8067949414253235,-0.5969519019126892,-0.8731772303581238,-0.8486896753311157,-0.8486896753311157,-0.2517377734184265,-0.024487555027008057,1,1,True,1,0,0,False,"(-0.268, -0.211]","(-0.0766, 0.0677]"
27,21,7,0,-0.8391278386116028,-0.6787539720535278,-0.40741047263145447,-0.7018334865570068,-0.6491871476173401,-0.6491871476173401,-0.24177667498588562,-0.05264633893966675,1,1,True,1,0,0,False,"(-0.268, -0.211]","(-2.7889999999999997, -0.291]"
27,22,7,1,-0.7815552949905396,-1.5174208879470825,-0.41362622380256653,-0.5399678945541382,-0.5814811587333679,-0.5399678945541382,-0.12634167075157166,0.041513264179229736,0,1,,0,0,1,,"(-0.128, 0.0263]","(-2.7889999999999997, -0.291]"
27,23,7,2,0.9700220823287964,-0.41639479994773865,-0.6400930285453796,-0.8144899010658264,-0.7900023460388184,-0.7900023460388184,-0.14990931749343872,-0.024487555027008057,1,0,True,1,0,0,False,"(-0.171, -0.128]","(0.275, 2.946]"
28,0,0,0,0.3850298523902893,0.45250144600868225,-0.5363855361938477,-0.8517705202102661,-0.8530846834182739,-0.8517705202102661,-0.31538498401641846,0.0013141632080078125,1,0,True,1,1,0,False,"(-0.6, -0.268]","(0.275, 2.946]"
28,1,0,1,1.1921638250350952,-0.08214002847671509,-0.6961351633071899,-0.8792017698287964,-0.8542708158493042,-0.8542708158493042,-0.15813565254211426,-0.024930953979492188,0,0,,0,0,1,,"(-0.171, -0.128]","(0.275, 2.946]"
28,2,0,2,0.4806525409221649,-0.19236434996128082,-0.7082927823066711,-0.8803868889808655,-0.8722306489944458,-0.8722306489944458,-0.16393786668777466,-0.008156239986419678,0,0,,0,1,1,,"(-0.171, -0.128]","(0.275, 2.946]"
28,3,1,0,0.4066310524940491,-1.2326889038085938,-0.6168356537818909,-0.8808859586715698,-0.8822000622749329,-0.8808859586715698,-0.26405030488967896,0.0013141036033630371,1,0,False,1,0,0,True,"(-0.268, -0.211]","(0.275, 2.946]"
28,4,1,1,-0.5978500843048096,0.890799880027771,-0.38439375162124634,-0.5771543979644775,-0.5522235035896301,-0.5522235035896301,-0.1678297519683838,-0.024930894374847412,1,1,False,1,1,0,True,"(-0.171, -0.128]","(-2.7889999999999997, -0.291]"
28,5,1,2,0.8843904733657837,0.3354913592338562,-0.10811904072761536,-0.24291479587554932,-0.23475852608680725,-0.23475852608680725,-0.1266394853591919,-0.008156269788742065,0,0,,0,0,1,,"(-0.128, 0.0263]","(0.275, 2.946]"
28,6,2,0,-0.16596719622612,-2.34916353225708,-0.11816942691802979,-0.30189043283462524,-0.30320456624031067,-0.30189043283462524,-0.18372100591659546,0.0013141334056854248,1,1,False,1,1,0,False,"(-0.211, -0.171]","(-0.291, -0.0766]"
28,7,2,1,1.9086891412734985,0.6806914210319519,-0.5565510392189026,-0.7490073442459106,-0.7240763902664185,-0.7240763902664185,-0.16752535104751587,-0.024930953979492188,1,0,False,1,0,0,False,"(-0.171, -0.128]","(0.275, 2.946]"
28,8,2,2,-1.5212745666503906,0.04369032382965088,-0.2722843289375305,-0.39780983328819275,-0.3896535634994507,-0.3896535634994507,-0.11736923456192017,-0.008156269788742065,1,1,False,1,1,0,True,"(-0.128, 0.0263]","(-2.7889999999999997, -0.291]"
28,9,3,0,-0.5742858648300171,0.3198951780796051,-0.13107812404632568,-0.3383104205131531,-0.3396245539188385,-0.3383104205131531,-0.2072322964668274,0.0013141334056854248,1,1,True,1,1,0,False,"(-0.211, -0.171]","(-2.7889999999999997, -0.291]"
28,10,3,1,0.928249716758728,-1.5068318843841553,-0.1255427598953247,-0.2856913208961487,-0.26076042652130127,-0.26076042652130127,-0.13521766662597656,-0.024930894374847412,0,0,,0,0,1,,"(-0.171, -0.128]","(0.275, 2.946]"
28,11,3,2,-0.5273985862731934,-1.3167674541473389,-0.4768869876861572,-0.6308305263519287,-0.622674286365509,-0.622674286365509,-0.1457872986793518,-0.008156239986419678,0,1,,0,0,1,,"(-0.171, -0.128]","(-2.7889999999999997, -0.291]"
28,12,4,0,0.3297938108444214,-0.21799689531326294,-0.35218262672424316,-0.569959282875061,-0.5712734460830688,-0.569959282875061,-0.21777665615081787,0.0013141632080078125,1,0,False,1,0,0,True,"(-0.268, -0.211]","(0.275, 2.946]"
28,13,4,1,-0.6146349310874939,-0.08968466520309448,-0.44689419865608215,-0.6764403581619263,-0.6515094041824341,-0.6515094041824341,-0.20461520552635193,-0.024930953979492188,0,1,,0,0,1,,"(-0.211, -0.171]","(-2.7889999999999997, -0.291]"
28,14,4,2,-0.3638433814048767,-2.7219021320343018,-0.5305097699165344,-0.6374958157539368,-0.6293395757675171,-0.6293395757675171,-0.09882980585098267,-0.008156239986419678,1,1,True,1,0,0,False,"(-0.128, 0.0263]","(-2.7889999999999997, -0.291]"
