mode,epoch,update_epoch,minibatch_id,route_step_index_within_epoch,offload_active_count,offload_active_fraction,route_logprob_active_fraction,route_effective_advantage_mean,route_effective_advantage_std,route_loss,route_old_logprob_mean,route_new_logprob_mean,route_ratio_mean,route_approx_kl_precheck,route_clip_fraction_precheck,bare_route_head_grad_norm,bare_route_backbone_grad_norm,route_step_blocked_by_trust_region,route_step_blocked_by_coupled_stop,route_step_blocked_by_other_guard,optimizer_step_executed,route_param_delta_norm,counted_into_route_update_count,counted_route_head_grad_norm,counted_route_backbone_grad_norm,theta_step_happened_before_this_route_step,theta_param_delta_norm_before_route_step
hierarchical_actor_true_conditional_route_candidate_score_credit,0,2,10,12,379,0.4934895932674408,0.4934895932674408,0.033713117241859436,0.9752205014228821,-0.044434644281864166,-0.670599102973938,-0.6903479695320129,0.9863222241401672,0.01974889077246189,0.09762533009052277,0.09159883767417237,0.047113969293651255,0.0,0.0,0.0,1.0,0.04191166984078524,1.0,0.09159883767417237,0.047113969293651255,1.0,0.042293557295669144
hierarchical_actor_true_conditional_route_candidate_score_credit,0,2,11,13,40,0.4166666567325592,0.4166666567325592,0.2104804962873459,0.9505341053009033,-0.2554858922958374,-0.6668809652328491,-0.6849257946014404,0.989447295665741,0.018044892698526382,0.05000000074505806,0.40988416269023065,0.2383369332456379,0.0,0.0,0.0,1.0,0.049346313348983824,1.0,0.40988416269023065,0.2383369332456379,1.0,0.049269455961434054
hierarchical_actor_true_conditional_route_candidate_score_credit,0,3,12,14,386,0.5026041865348816,0.5026041865348816,0.030225815251469612,0.95628422498703,-0.038773830980062485,-0.6673591136932373,-0.6880564093589783,0.9859212636947632,0.02069728635251522,0.06735751032829285,0.07141167321306041,0.048262844208908126,0.0,0.0,0.0,1.0,0.042823026701621976,1.0,0.07141167321306041,0.048262844208908126,1.0,0.044749209672116035
hierarchical_actor_true_conditional_route_candidate_score_credit,0,3,13,15,395,0.5143229365348816,0.5143229365348816,-0.04366767033934593,0.9821504354476929,0.03803880140185356,-0.6765407919883728,-0.6964755058288574,0.9875634908676147,0.019934728741645813,0.10886076092720032,0.08711286457341988,0.05945984847537482,0.0,0.0,0.0,1.0,0.03810594604727793,1.0,0.08711286457341988,0.05945984847537482,1.0,0.04279657025934872
hierarchical_actor_true_conditional_route_candidate_score_credit,0,3,14,16,399,0.51953125,0.51953125,-0.05716000869870186,0.978629469871521,0.02027163654565811,-0.6749285459518433,-0.697393000125885,0.9856799840927124,0.022464433684945107,0.11027568578720093,0.13116147361122346,0.06915039942736238,0.0,0.0,0.0,1.0,0.03976750433922928,1.0,0.13116147361122346,0.06915039942736238,1.0,0.036663231687835585
hierarchical_actor_true_conditional_route_candidate_score_credit,0,3,15,17,45,0.46875,0.46875,0.018842453137040138,0.9840471148490906,-0.04909997805953026,-0.6774486303329468,-0.6557893753051758,1.0279333591461182,-0.021659348160028458,0.08888889104127884,0.2532115971555008,0.16509495725962967,0.0,0.0,0.0,1.0,0.04758601322440846,1.0,0.2532115971555008,0.16509495725962967,1.0,0.044719693310913515
hierarchical_actor_true_conditional_route_candidate_score_credit,0,4,16,18,370,0.4817708432674408,0.4817708432674408,0.026031479239463806,0.9824817180633545,-0.04909878224134445,-0.6765697598457336,-0.6921916007995605,0.9929214119911194,0.015621945261955261,0.10000000149011612,0.0721268054123369,0.045956208908392006,0.0,0.0,0.0,1.0,0.04476696750840348,1.0,0.0721268054123369,0.045956208908392006,1.0,0.04053749235272202
hierarchical_actor_true_conditional_route_candidate_score_credit,0,4,17,19,396,0.515625,0.515625,-0.08941219002008438,0.9731889367103577,0.06667374074459076,-0.6720157265663147,-0.6931530833244324,0.9880779385566711,0.02113739401102066,0.1111111119389534,0.10706960920036562,0.06650556648334227,0.0,0.0,0.0,1.0,0.03856965459487002,1.0,0.10706960920036562,0.06650556648334227,1.0,0.033727273443669915
hierarchical_actor_true_conditional_route_candidate_score_credit,0,4,18,20,405,0.52734375,0.52734375,0.009779805317521095,0.9643732309341431,-0.02836005575954914,-0.6736367344856262,-0.6970312595367432,0.9858876466751099,0.02339463122189045,0.10370370000600815,0.08378599787210564,0.049002475966780694,0.0,0.0,0.0,1.0,0.03562657670093501,1.0,0.08378599787210564,0.049002475966780694,1.0,0.0313434288411027
hierarchical_actor_true_conditional_route_candidate_score_credit,0,4,19,21,54,0.5625,0.5625,-0.10603227466344833,0.9547586441040039,0.1291530579328537,-0.6545189619064331,-0.6967722773551941,0.9669281840324402,0.04225322976708412,0.09259258955717087,0.22598739313405902,0.13859076509035018,0.0,0.0,0.0,1.0,0.041808815096155125,1.0,0.22598739313405902,0.13859076509035018,1.0,0.039798035925080716
