telemetry_step,train_epoch,update_epoch,minibatch_id,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip
17,0,4,17,0.0494867119277771,77696,39312,0.5059719934102141,184240.21875,788273.3125,4847156.0,27456284.0,2095.058837890625,3999.999755859375,5645.331250000012,19662.576171875
18,0,4,18,0.049686782450363634,77696,39539,0.508893636738056,181995.421875,781321.140625,4694630.125000001,26779444.0,2103.197265625,3999.999755859375,5629.181860351567,19759.291015625
19,0,4,19,0.04955399914383958,77696,37686,0.48504427512355847,180510.625,767741.625,4714269.800000058,25945534.0,2051.228271484375,3999.999755859375,5275.194628906251,19675.005859375
20,0,5,20,0.05009459032632376,77696,37660,0.48470963756177926,178306.375,763842.9375,4732190.0,24803622.0,2054.058837890625,3999.999755859375,5246.060864257813,18774.119140625
21,0,5,21,0.049899450934859015,77696,37914,0.4879787891268534,177597.453125,768831.375,4672295.5,24176890.0,2061.640625,3999.999755859375,5264.670117187501,19016.466796875
22,0,5,22,0.049492464832840206,77696,38096,0.4903212520593081,176799.171875,762791.25,4699095.225000004,23547948.0,2068.080078125,3999.999755859375,5274.747094726566,19242.255859375
23,0,5,23,0.04878558671966091,77696,36578,0.47078356672158156,176701.375,764207.0625,4758013.425000031,23411000.0,2032.676025390625,3999.999755859375,5095.691772460944,19659.080078125
24,0,6,24,0.04986869599674265,77696,36629,0.471439971169687,173971.71875,746438.0,4605228.0,23760298.0,2035.8516845703125,3999.999755859375,5065.5209960937555,19930.81640625
25,0,6,25,0.049401370611968,77696,36929,0.47530117380560133,174438.15625,742703.25,4652779.0,23854054.0,2044.8828125,3999.999755859375,5081.58442382813,20329.109375
26,0,6,26,0.0489884392157099,77696,37107,0.47759215403624383,174645.265625,744485.609375,4692078.0,23906906.0,2052.9150390625,3999.999755859375,5098.673486328131,20565.587890625
27,0,6,27,0.04926267777104311,77696,34986,0.4502934514003295,174111.328125,741569.0,4652803.0,23607384.0,1999.00927734375,3999.999755859375,4851.091430664064,16489.392578125
28,0,7,28,0.048914182415699115,77696,35271,0.4539615939044481,174181.953125,737528.0,4688957.5,23635184.0,2008.1429443359375,3999.999755859375,4878.015429687502,16397.421875
29,0,7,29,0.048477003990202834,77696,35586,0.45801585667215816,174668.421875,741068.0625,4634440.975000001,23530168.0,2017.904296875,3999.999755859375,4899.689941406253,16546.93359375
30,0,7,30,0.04880168796081642,77696,35735,0.4599335873146623,173396.1875,730480.875,4607693.22500005,23571040.0,2022.9326171875,3999.999755859375,4909.979028320314,16742.349609375
31,0,7,31,0.050554924703293015,77696,34483,0.44381950164744643,173047.3125,737113.625,4667309.650000025,23621988.0,1999.279296875,3999.999755859375,4792.315942382814,16580.302734375
32,0,8,32,0.05046567527224495,77696,34718,0.4468441103789127,172762.46875,733777.9375,4662384.7000000235,23725344.0,2006.9697265625,3999.999755859375,4817.06123046875,16759.515625
33,0,8,33,0.04954409321593008,77696,34890,0.4490578665568369,172856.296875,732662.90625,4636186.675000071,23981676.0,2013.76220703125,3999.999755859375,4832.557226562505,16988.912109375
