telemetry_step,train_epoch,update_epoch,minibatch_id,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_p50,backbone_soft_geometry_scale_factor_p95,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean,backbone_soft_geometry_overflow_stat_p95
33,0,8,33,0.06192005227757899,78848,0,0.0,244803.21875,1245895.4687499993,6925301.5,19746632.0,244803.21875,1245895.4687499993,6925301.5,19746632.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
34,0,8,34,0.059589256352475986,78848,0,0.0,247424.96875,1261716.875,7008808.5,19916144.0,247424.96875,1261716.875,7008808.5,19916144.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
35,0,8,35,0.05994153269280448,78848,0,0.0,246485.0625,1273361.5,7099959.0,18012130.0,246485.0625,1273361.5,7099959.0,18012130.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
36,0,9,36,0.059245040726276677,78848,0,0.0,248641.765625,1289745.25,7139891.5,18136410.0,248641.765625,1289745.25,7139891.5,18136410.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
37,0,9,37,0.05796967112554551,78848,0,0.0,251239.21875,1304443.25,7228149.5,18212354.0,251239.21875,1304443.25,7228149.5,18212354.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
38,0,9,38,0.05747580669043048,78848,0,0.0,252905.03125,1318657.5,7279615.5,18237616.0,252905.03125,1318657.5,7279615.5,18237616.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
39,0,9,39,0.05625974879483299,78848,0,0.0,254250.1875,1316508.875,7318697.5,18412880.0,254250.1875,1316508.875,7318697.5,18412880.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
40,1,0,0,0.058986890048062124,78848,0,0.0,239476.34375,1243988.75,6650078.5,18585474.0,239476.34375,1243988.75,6650078.5,18585474.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
41,1,0,1,0.06223405066403117,78848,0,0.0,230645.03125,1174882.125,6408746.0,18770764.0,230645.03125,1174882.125,6408746.0,18770764.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
42,1,0,2,0.061376017493872885,78848,0,0.0,230529.5,1164092.75,6469970.0,18872344.0,230529.5,1164092.75,6469970.0,18872344.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
43,1,0,3,0.06300448534084972,78848,0,0.0,229684.265625,1156105.875,6320996.5,19051516.0,229684.265625,1156105.875,6320996.5,19051516.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
44,1,1,4,0.06553659888716207,78848,0,0.0,227545.65625,1145763.9124999957,6334961.5,18897592.0,227545.65625,1145763.9124999957,6334961.5,18897592.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
45,1,1,5,0.06606797387132944,78848,0,0.0,227427.765625,1130473.1374999946,6339371.0,19070432.0,227427.765625,1130473.1374999946,6339371.0,19070432.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
46,1,1,6,0.06628596386486281,78848,0,0.0,227572.5,1133874.5999999996,6339823.0,19185160.0,227572.5,1133874.5999999996,6339823.0,19185160.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
47,1,1,7,0.06479196072258515,78848,0,0.0,228348.0,1138739.875,6301936.5,19351208.0,228348.0,1138739.875,6301936.5,19351208.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
48,1,2,8,0.06476990758414972,78848,0,0.0,228797.25,1137552.8249999757,6331992.5,19415546.0,228797.25,1137552.8249999757,6331992.5,19415546.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
49,1,2,9,0.06269292515970519,78848,0,0.0,230351.890625,1143039.625,6353526.5,19573690.0,230351.890625,1143039.625,6353526.5,19573690.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
50,1,2,10,0.059905351950646876,78848,0,0.0,232198.125,1152374.875,6369163.0,19719212.0,232198.125,1152374.875,6369163.0,19719212.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
51,1,2,11,0.05868218478310131,78848,0,0.0,233780.8125,1161466.099999991,6386095.5,19455510.0,233780.8125,1161466.099999991,6386095.5,19455510.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
52,1,3,12,0.05807132849498356,78848,0,0.0,235559.71875,1171965.643749978,6418106.0,19561956.0,235559.71875,1171965.643749978,6418106.0,19561956.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
53,1,3,13,0.0556892402665989,78848,0,0.0,237155.109375,1180589.4062499711,6458095.5,19691690.0,237155.109375,1180589.4062499711,6458095.5,19691690.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
54,1,3,14,0.053802192223004024,78848,0,0.0,238399.8125,1187868.606249959,6456039.5,19778656.0,238399.8125,1187868.606249959,6456039.5,19778656.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
55,1,3,15,0.051913908264749745,78848,0,0.0,239451.140625,1196564.3499999593,6506523.0,19784526.0,239451.140625,1196564.3499999593,6506523.0,19784526.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
56,1,4,16,0.05176973155575876,78848,0,0.0,240825.71875,1204511.868749974,6480903.5,19914942.0,240825.71875,1204511.868749974,6480903.5,19914942.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
57,1,4,17,0.049712365726206596,78848,0,0.0,242591.171875,1213458.1374999825,6530597.5,20055370.0,242591.171875,1213458.1374999825,6530597.5,20055370.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
58,1,4,18,0.04769643972865523,78848,0,0.0,244129.875,1221325.2749999748,6563231.5,20187802.0,244129.875,1221325.2749999748,6563231.5,20187802.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
59,1,4,19,0.04643613620023801,78848,0,0.0,245704.203125,1231042.0187499658,6600702.0,20324914.0,245704.203125,1231042.0187499658,6600702.0,20324914.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
60,1,5,20,0.045736717099202996,78848,0,0.0,247158.3125,1235842.375,6645572.0,20366744.0,247158.3125,1235842.375,6645572.0,20366744.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
61,1,5,21,0.04533216676810216,78848,0,0.0,248694.4375,1245349.5749999986,6690437.5,20464496.0,248694.4375,1245349.5749999986,6690437.5,20464496.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
62,1,5,22,0.04792692584429189,78848,0,0.0,247707.765625,1254826.25,6623948.5,20176178.0,247707.765625,1254826.25,6623948.5,20176178.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
63,1,5,23,0.05059390881123123,78848,0,0.0,246000.359375,1246112.375,6563792.0,20264426.0,246000.359375,1246112.375,6563792.0,20264426.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
64,1,6,24,0.04922049222230026,78848,0,0.0,243398.78125,1242759.881249902,6504221.5,19735106.0,243398.78125,1242759.881249902,6504221.5,19735106.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
65,1,6,25,0.047479111309176966,78848,0,0.0,245016.046875,1252150.7812499013,6550420.5,19849276.0,245016.046875,1252150.7812499013,6550420.5,19849276.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
66,1,6,26,0.0486940114170839,78848,0,0.0,244764.203125,1248038.7749999664,6569915.5,19641934.0,244764.203125,1248038.7749999664,6569915.5,19641934.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
67,1,6,27,0.048140502117228756,78848,0,0.0,244789.890625,1252779.875,6529639.5,19622082.0,244789.890625,1252779.875,6529639.5,19622082.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
68,1,7,28,0.05248072672686636,78848,0,0.0,243064.125,1249304.25,6496292.5,19477356.0,243064.125,1249304.25,6496292.5,19477356.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
69,1,7,29,0.050596038208723146,78848,0,0.0,242338.265625,1256044.25,6516830.5,19003526.0,242338.265625,1256044.25,6516830.5,19003526.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
70,1,7,30,0.05237071314106378,78848,0,0.0,242822.109375,1248484.5,6560525.0,18939546.0,242822.109375,1248484.5,6560525.0,18939546.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
