mode,sample_index,block_index,selected_route_index,candidate_score_0,candidate_score_1,selected_score,expected_score,route_effective_advantage,route_old_logprob,route_new_logprob,route_ratio,route_surrogate
hierarchical_actor_true_conditional_route_policy,13,10,1,-0.354879230260849,0.354879230260849,0.354879230260849,0.03450368344783783,-0.709758460521698,-0.6003615260124207,-0.6003615260124207,1.0,-0.709758460521698
hierarchical_actor_true_conditional_route_policy,13,12,1,-0.3950002193450928,0.3950002193450928,0.3950002193450928,0.15569883584976196,-0.7900004386901855,-0.36084508895874023,-0.36084508895874023,1.0,-0.7900004386901855
hierarchical_actor_true_conditional_route_policy,13,13,0,-0.6664344668388367,0.6664344668388367,-0.6664344668388367,0.01993948221206665,-1.3328689336776733,-0.7235234975814819,-0.7235235571861267,0.9999999403953552,-1.3328688144683838
hierarchical_actor_true_conditional_route_policy,13,14,0,-0.16472123563289642,0.16472123563289642,-0.16472123563289642,-0.04998697713017464,-0.32944247126579285,-0.42812174558639526,-0.4281217157840729,1.0,-0.32944247126579285
hierarchical_actor_true_conditional_route_policy,13,18,1,-0.7561326026916504,0.7561326026916504,0.7561326026916504,-0.012789398431777954,-1.5122652053833008,-0.7102060914039612,-0.7102060914039612,1.0,-1.5122652053833008
hierarchical_actor_true_conditional_route_policy,13,19,1,-0.1570061445236206,0.1570061445236206,0.1570061445236206,0.03395652025938034,-0.3140122890472412,-0.4973542094230652,-0.4973541796207428,1.0,-0.3140122890472412
hierarchical_actor_true_conditional_route_policy,13,20,1,0.2991899847984314,-0.2991899847984314,-0.2991899847984314,-0.06695745885372162,0.5983799695968628,-0.4911898374557495,-0.4911898076534271,1.0,0.5983799695968628
hierarchical_actor_true_conditional_route_policy,13,23,1,0.012966537848114967,-0.012966537848114967,-0.012966537848114967,-0.0025109765119850636,0.025933075696229935,-0.5161309242248535,-0.5161308646202087,1.0,0.025933075696229935
hierarchical_actor_true_conditional_route_policy,14,0,0,0.3098877966403961,-0.3098877966403961,0.3098877966403961,0.03683476150035858,0.6197755932807922,-0.5808325409889221,-0.5808324813842773,1.0,0.6197755932807922
hierarchical_actor_true_conditional_route_policy,14,1,0,0.5266051292419434,-0.5266051292419434,0.5266051292419434,0.08591948449611664,1.0532102584838867,-0.5420090556144714,-0.5420090556144714,1.0,1.0532102584838867
hierarchical_actor_true_conditional_route_policy,14,2,0,-0.06943053007125854,0.06943053007125854,-0.06943053007125854,-0.021386340260505676,-0.1388610601425171,-0.42462876439094543,-0.42462876439094543,1.0,-0.1388610601425171
hierarchical_actor_true_conditional_route_policy,14,3,0,-1.1185739040374756,1.1185739040374756,-1.1185739040374756,0.053424954414367676,-2.237147808074951,-0.7420871257781982,-0.7420871257781982,1.0,-2.237147808074951
hierarchical_actor_true_conditional_route_policy,14,5,0,1.1436017751693726,-1.1436017751693726,1.1436017751693726,0.5281858444213867,2.287203550338745,-0.31343644857406616,-0.31343644857406616,1.0,2.287203550338745
hierarchical_actor_true_conditional_route_policy,14,7,0,0.19427447021007538,-0.19427447021007538,0.19427447021007538,0.053851015865802765,0.38854894042015076,-0.4484845697879791,-0.44848451018333435,1.0,0.38854894042015076
hierarchical_actor_true_conditional_route_policy,14,9,0,0.6416696906089783,-0.6416696906089783,0.6416696906089783,0.005659133195877075,1.2833393812179565,-0.6843664050102234,-0.6843664646148682,0.9999999403953552,1.283339262008667
hierarchical_actor_true_conditional_route_policy,14,10,0,-1.810179352760315,1.810179352760315,-1.810179352760315,-0.5079813599586487,-3.62035870552063,-0.44579899311065674,-0.4457990527153015,0.9999999403953552,-3.620358467102051
hierarchical_actor_true_conditional_route_policy,14,11,1,-1.4487203359603882,1.4487203359603882,1.4487203359603882,0.2908037304878235,-2.8974406719207764,-0.510216236114502,-0.5102162957191467,0.9999999403953552,-2.8974404335021973
hierarchical_actor_true_conditional_route_policy,14,15,1,-1.2374625205993652,1.2374625205993652,1.2374625205993652,-0.14048677682876587,-2.4749250411987305,-0.8136529922485352,-0.8136529922485352,1.0,-2.4749250411987305
hierarchical_actor_true_conditional_route_policy,14,23,0,1.1346559524536133,-1.1346559524536133,1.1346559524536133,-0.3706471621990204,2.2693119049072266,-1.0886526107788086,-1.0886526107788086,1.0,2.2693119049072266
