epoch,layer_name,layer_active_count,layer_clipped_active_count,layer_clipped_active_fraction,layer_active_preconditioner_mean,layer_active_preconditioner_p95,layer_active_preconditioner_p99,layer_active_preconditioner_max,layer_active_preconditioner_mean_after_clip,layer_active_preconditioner_p95_after_clip,layer_active_preconditioner_p99_after_clip,layer_active_preconditioner_max_after_clip,layer_actual_param_delta_norm,layer_raw_grad_norm,layer_preconditioned_grad_norm,layer_soft_geometry_scale_factor,layer_soft_geometry_scale_factor_min,layer_soft_geometry_scale_factor_p50,layer_soft_geometry_scale_factor_p95,layer_soft_geometry_trigger_active_fraction,layer_soft_geometry_overflow_stat,layer_soft_geometry_overflow_stat_p95
2,critic_backbone.0.weight,1797093,0,0.0,387630.3125,2810493.0,7787485.220000519,20204714.0,387630.3125,2810493.0,7787485.220000519,20204714.0,0.04167027752846479,0.3481690168380737,332.14986419677734,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,critic_backbone.4.bias,5120,0,0.0,2384.548095703125,5805.656811523438,7292.489980468751,10096.2373046875,2384.548095703125,5805.656811523438,7292.489980468751,10096.2373046875,0.0020174098695861175,0.006967773148790002,11.829384124279022,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,critic_backbone.6.weight,655360,0,0.0,4002.620361328125,7090.234350585934,10648.74991210939,30232.921875,4002.620361328125,7090.234350585934,10648.74991210939,30232.921875,0.02548947059549391,0.046774955140426754,171.9775514602661,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,critic_backbone.7.bias,5120,0,0.0,1756.864501953125,2776.8055053710955,4649.772919921882,7735.2509765625,1756.864501953125,2776.8055053710955,4649.772919921882,7735.2509765625,0.003259219364554156,0.005540639418177307,9.439242118597031,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,critic_backbone.7.weight,5120,0,0.0,3483.328857421875,6228.8816894531265,31991.393730468797,68673.8125,3483.328857421875,6228.8816894531265,31991.393730468797,68673.8125,0.0046958316001109775,0.004069592004816514,10.996749168634414,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3,critic_backbone.0.weight,1797120,0,0.0,348622.25,2542054.75,6966990.5,15665193.0,348622.25,2542054.75,6966990.5,15665193.0,0.03763724928721786,0.3840694949030876,297.43416328430175,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3,critic_backbone.4.bias,5120,0,0.0,2108.403076171875,4712.938989257813,6122.614897460941,7035.10009765625,2108.403076171875,4712.938989257813,6122.614897460941,7035.10009765625,0.002122599896392785,0.010430870956042781,14.60104192495346,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3,critic_backbone.6.weight,655360,0,0.0,3179.56787109375,4700.102563476557,8051.921503906257,15490.404296875,3179.56787109375,4700.102563476557,8051.921503906257,15490.404296875,0.023384262528270482,0.05978249767795205,177.77788391113282,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3,critic_backbone.7.bias,5120,0,0.0,1731.569091796875,2507.6858398437507,4785.142080078127,5832.25390625,1731.569091796875,2507.6858398437507,4785.142080078127,5832.25390625,0.0030154009873513132,0.006225080275908112,10.520320564508438,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3,critic_backbone.7.weight,5120,0,0.0,3144.52978515625,4992.686767578125,23849.778964843757,29098.494140625,3144.52978515625,4992.686767578125,23849.778964843757,29098.494140625,0.003488171887875069,0.003377480962080881,9.247998464107514,1.0,1.0,1.0,1.0,0.0,0.0,0.0
