sample_id,timestep_id,state_type,block_id,sensor_id,task_id,candidate_action,value_pred,value_pred_normalized,value_pred_normalized_equivalent,return,value_target,advantage,one_step_reward,one_step_td_target,reward_best_vs_value_best_match,reward_value_flip_type,workload_mean,virtual_queue_mean,local_queue_mean,access_queue_mean,bs_queue_mean,raw_state_distance_proxy,critic_input_distance_proxy
0,0,real_rollout,14,4,2,bs2,-26.867366790771484,-0.36823248863220215,-0.20387935638427734,-38.679298400878906,-1.7102630138397217,-11.811932563781738,-1.0539661645889282,-25.218273162841797,0,reward:bs2->value:local,0.735849916934967,0.0,0.0,0.0,0.0,,
0,0,real_rollout,15,5,0,bs1,-26.867366790771484,-0.36823248863220215,-0.20387935638427734,-38.679298400878906,-1.7102630138397217,-11.811932563781738,-1.0539661645889282,-25.218273162841797,0,reward:local->value:bs2,0.735849916934967,0.0,0.0,0.0,0.0,,
0,0,real_rollout,16,5,1,bs2,-26.867366790771484,-0.36823248863220215,-0.20387935638427734,-38.679298400878906,-1.7102630138397217,-11.811932563781738,-1.0539661645889282,-25.218273162841797,1,match,0.735849916934967,0.0,0.0,0.0,0.0,,
0,0,real_rollout,17,5,2,bs1,-26.867366790771484,-0.36823248863220215,-0.20387935638427734,-38.679298400878906,-1.7102630138397217,-11.811932563781738,-1.0539661645889282,-25.218273162841797,0,reward:bs2->value:local,0.735849916934967,0.0,0.0,0.0,0.0,,
0,0,real_rollout,18,6,0,local,-26.867366790771484,-0.36823248863220215,-0.20387935638427734,-38.679298400878906,-1.7102630138397217,-11.811932563781738,-1.0539661645889282,-25.218273162841797,1,match,0.735849916934967,0.0,0.0,0.0,0.0,,
0,0,real_rollout,19,6,1,local,-26.867366790771484,-0.36823248863220215,-0.20387935638427734,-38.679298400878906,-1.7102630138397217,-11.811932563781738,-1.0539661645889282,-25.218273162841797,0,reward:local->value:bs2,0.735849916934967,0.0,0.0,0.0,0.0,,
0,0,real_rollout,20,6,2,local,-26.867366790771484,-0.36823248863220215,-0.20387935638427734,-38.679298400878906,-1.7102630138397217,-11.811932563781738,-1.0539661645889282,-25.218273162841797,0,reward:local->value:bs1,0.735849916934967,0.0,0.0,0.0,0.0,,
0,0,real_rollout,21,7,0,bs2,-26.867366790771484,-0.36823248863220215,-0.20387935638427734,-38.679298400878906,-1.7102630138397217,-11.811932563781738,-1.0539661645889282,-25.218273162841797,1,match,0.735849916934967,0.0,0.0,0.0,0.0,,
0,0,real_rollout,22,7,1,local,-26.867366790771484,-0.36823248863220215,-0.20387935638427734,-38.679298400878906,-1.7102630138397217,-11.811932563781738,-1.0539661645889282,-25.218273162841797,0,reward:bs1->value:bs2,0.735849916934967,0.0,0.0,0.0,0.0,,
0,0,real_rollout,23,7,2,bs2,-26.867366790771484,-0.36823248863220215,-0.20387935638427734,-38.679298400878906,-1.7102630138397217,-11.811932563781738,-1.0539661645889282,-25.218273162841797,1,match,0.735849916934967,0.0,0.0,0.0,0.0,,
