telemetry_step,train_epoch,update_epoch,minibatch_id,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean
10,0,1,10,0.055941055441990066,76800,30993,0.4035546875,233007.625,427942.71875,6680851.0,51794224.0,2251.690185546875,4037.706286621095,5943.044638671846,21682.62109375,1.0,1.0,0.0,0.0
11,0,1,11,0.05510334878611205,76800,30839,0.40154947916666667,228439.59375,428844.375,6509467.5,51831084.0,2247.2705078125,4013.256970214844,5821.533940429678,22211.26953125,1.0,1.0,0.0,0.0
12,0,1,12,0.054129476575158916,76800,30625,0.3987630208333333,224894.640625,416402.25,6417741.0,52357688.0,2243.802490234375,3999.999755859375,5755.725356445311,22323.08203125,1.0,1.0,0.0,0.0
13,0,1,13,0.05415287533796669,76800,28903,0.37634114583333333,222611.4375,427898.40625,6261118.5,52407564.0,2200.36572265625,3999.999755859375,5575.046616210932,22752.28125,1.0,1.0,0.0,0.0
14,0,2,14,0.05422215895658997,76800,29134,0.3793489583333333,220790.6875,423176.03125,6068271.0,52973888.0,2209.628173828125,3999.999755859375,5579.789272460935,22400.75,1.0,1.0,0.0,0.0
15,0,2,15,0.05525815187649658,76800,28979,0.37733072916666666,217193.15625,418185.9375,6072259.0,53385892.0,2204.656005859375,3999.999755859375,5516.83062499999,22058.091796875,1.0,1.0,0.0,0.0
16,0,2,16,0.05501064548148234,76800,28985,0.37740885416666664,215344.328125,404471.25,6029468.5,54000764.0,2209.53173828125,3999.999755859375,5529.594418945296,21400.529296875,1.0,1.0,0.0,0.0
17,0,2,17,0.054499033795983,76800,29283,0.3812890625,216039.265625,402762.5625,6077059.5,54663536.0,2214.835205078125,3999.999755859375,5516.330922851559,20477.205078125,1.0,1.0,0.0,0.0
18,0,2,18,0.05473654305953853,76800,29383,0.3825911458333333,215239.0625,395980.0,5980458.5,55262172.0,2218.865478515625,3999.999755859375,5505.352944335936,19137.982421875,1.0,1.0,0.0,0.0
19,0,2,19,0.053838171813961576,76800,29266,0.3810677083333333,213083.859375,396161.21875,6017747.5,55894080.0,2218.747802734375,3999.999755859375,5488.794345703124,18111.451171875,1.0,1.0,0.0,0.0
20,0,2,20,0.054222626624562974,76800,28276,0.3681770833333333,213993.3125,404002.09375,6075093.0,56465228.0,2191.66015625,3999.999755859375,5347.831826171872,17569.076171875,1.0,1.0,0.0,0.0
21,0,3,21,0.05470426979997372,76800,28253,0.36787760416666665,212680.890625,404865.21875,6085345.0,56844716.0,2193.219970703125,3999.999755859375,5345.34160644531,16549.125,1.0,1.0,0.0,0.0
22,0,3,22,0.05462658172200662,76800,28506,0.371171875,213070.03125,410638.3125,6189080.5,57278000.0,2201.650390625,3999.999755859375,5371.819697265624,15467.16796875,1.0,1.0,0.0,0.0
23,0,3,23,0.05451656595251682,76800,28520,0.37135416666666665,211759.859375,409911.875,6171562.0,57683252.0,2206.362548828125,3999.999755859375,5371.2655419921775,14336.9609375,1.0,1.0,0.0,0.0
24,0,3,24,0.05422985263588196,76800,28651,0.3730598958333333,210171.84375,412788.65625,6103835.0,55680336.0,2211.295166015625,3999.999755859375,5371.89864746093,14352.4794921875,1.0,1.0,0.0,0.0
25,0,3,25,0.054295628618468615,76800,28648,0.37302083333333336,209349.171875,413689.34375,6097305.5,55942256.0,2215.158935546875,3999.999755859375,5382.1000781249995,14359.6728515625,1.0,1.0,0.0,0.0
26,0,3,26,0.05402323753647105,76800,28650,0.373046875,208922.546875,413510.0,5992622.5,56405416.0,2216.448486328125,3999.999755859375,5388.819760742184,14158.05078125,1.0,1.0,0.0,0.0
27,0,3,27,0.05316717159773861,76800,27964,0.36411458333333335,209083.78125,412565.28125,5988042.0,54240304.0,2198.700927734375,3999.999755859375,5265.473242187499,14337.734375,1.0,1.0,0.0,0.0
