block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_weight_mean,block_weight_std,block_weight_max,block_weight_min,block_active_rate,epoch
4,12,15,3,dispatch_decision_block,0.05017566680908203,0.018091775476932526,0.11399490386247635,0.01975243166089058,0.7200000286102295,1
5,15,18,3,dispatch_decision_block,0.03884607180953026,0.022398576140403748,0.10489720851182938,7.095609788621005e-08,0.41999998688697815,1
6,18,21,3,dispatch_decision_block,0.036519113928079605,0.024024253711104393,0.10012355446815491,7.095609788621005e-08,0.3400000035762787,1
7,21,24,3,dispatch_decision_block,0.04923815652728081,0.014848182909190655,0.09866470098495483,0.013273773714900017,0.7099999785423279,1
8,24,27,3,dispatch_decision_block,0.05597858503460884,0.022333547472953796,0.11654455959796906,0.01773909665644169,0.6899999976158142,1
9,27,30,3,dispatch_decision_block,0.037756506353616714,0.025319572538137436,0.12666933238506317,0.0002694501308724284,0.41999998688697815,1
10,30,33,3,dispatch_decision_block,0.037158504128456116,0.02480495348572731,0.12066855281591415,0.0004144450940657407,0.4099999964237213,1
11,33,36,3,dispatch_decision_block,0.048827171325683594,0.015896229073405266,0.09828174114227295,0.016513630747795105,0.6600000262260437,1
12,36,39,3,dispatch_decision_block,0.043208345770835876,0.015808509662747383,0.09322608262300491,0.0173779409378767,0.44999998807907104,1
13,39,42,3,dispatch_decision_block,0.0300302654504776,0.015645349398255348,0.08539453893899918,0.001104712369851768,0.18000000715255737,1
14,42,45,3,dispatch_decision_block,0.03487038239836693,0.01748593896627426,0.0932198017835617,0.00473439646884799,0.3100000023841858,1
15,45,48,3,dispatch_decision_block,0.044440679252147675,0.014335005544126034,0.08778355270624161,0.019453702494502068,0.5199999809265137,1
16,48,51,3,dispatch_decision_block,0.04989062622189522,0.020851925015449524,0.12419489026069641,0.017402008175849915,0.5400000214576721,1
17,51,54,3,dispatch_decision_block,0.0393243208527565,0.02705352008342743,0.13003313541412354,0.0019524854142218828,0.41999998688697815,1
18,54,57,3,dispatch_decision_block,0.03611745685338974,0.026767723262310028,0.13003313541412354,0.0017089762259274721,0.3400000035762787,1
19,57,60,3,dispatch_decision_block,0.04571288079023361,0.01406640000641346,0.08342037349939346,0.012345726601779461,0.6100000143051147,1
20,60,63,3,dispatch_decision_block,0.04947788268327713,0.021440021693706512,0.09979628771543503,0.01762409321963787,0.5199999809265137,1
21,63,66,3,dispatch_decision_block,0.033260881900787354,0.02322390489280224,0.10081910341978073,9.603014768799767e-05,0.3199999928474426,1
22,66,69,3,dispatch_decision_block,0.033643897622823715,0.023175111040472984,0.09437665343284607,0.00038028162089176476,0.33000001311302185,1
23,69,72,3,dispatch_decision_block,0.0486987866461277,0.016932494938373566,0.08184543251991272,0.015735207125544548,0.6399999856948853,1
